job_id,titulo_vaga,cliente,vaga_sap,nivel_profissional_req,nivel_ingles_req,nivel_espanhol_req,areas_atuacao,principais_atividades,competencias,beneficios_raw,req_text,req_text_clean,req_text_clean_noaccents,req_len_tokens
5185,Operation Lead -,"Morris, Moran and Dodson",False,Sênior,Avançado,Fluente,TI - Sistemas e Ferramentas-,"Operations Lead

Roles & Responsibilities:
• The Operations Manager is accountable for delivering the run services towards a client or a specific set of clients.
• The Operations Manager has a firm working relation with the SDM who is accountable for the overall contractual compliance of all services and projects.
• Responsible for the delivery of the services from multiple Service Lines.
• Operations Manager ensures that the services are deliver according to the SLA, as well as managing the delivery of non-standard / client specific services.
• Delivery:
o Deliver services according to SLA.
o Day-to-day management of all service delivery activities.
o Ensure consistency of delivery approach; consistent with strategy - Manage Major Incidents / client alerts.
o Drive the identification of operational cost & efficiency savings.
• Supplier & third party management SLA services:
o Manage and coordinate with Vendor and maintain SLAs towards customer.
• Financial:
o Achieve productivity & cost efficiency savings.
o Maintain unit costing volume, accurate forecasting and charging data (#work units/service requests/changes).
o Identify SLA up sell opportunities.
• Client Reporting:
o Maintain SLA R&I log and follow-up actions aimed at reducing risks to service and service credits.
o Resolution of operational issues arising from client disputes - SLA Reporting to the client.

.","Required Skills:
• Prior experience in Cloud Infrastructure Management technologies AWS , SAP BASIS, SQL, Oracle etc
• Experience in the delivery of customer services to expected SLAs.
• Be able to understand complex cross platform technical issues, contractual requirements and able to identify areas for improvement.
• Good delegation skills, negotiation skills and people management.
• Good customer relations skills to understand client/client representatives concerns and requirements.
• Leadership abilities - mainly during crisis and major incidents.",,"Required Skills:
• Prior experience in Cloud Infrastructure Management technologies AWS , SAP BASIS, SQL, Oracle etc
• Experience in the delivery of customer services to expected SLAs.
• Be able to understand complex cross platform technical issues, contractual requirements and able to identify areas for improvement.
• Good delegation skills, negotiation skills and people management.
• Good customer relations skills to understand client/client representatives concerns and requirements.
• Leadership abilities - mainly during crisis and major incidents. Operations Lead

Roles & Responsibilities:
• The Operations Manager is accountable for delivering the run services towards a client or a specific set of clients.
• The Operations Manager has a firm working relation with the SDM who is accountable for the overall contractual compliance of all services and projects.
• Responsible for the delivery of the services from multiple Service Lines.
• Operations Manager ensures that the services are deliver according to the SLA, as well as managing the delivery of non-standard / client specific services.
• Delivery:
o Deliver services according to SLA.
o Day-to-day management of all service delivery activities.
o Ensure consistency of delivery approach; consistent with strategy - Manage Major Incidents / client alerts.
o Drive the identification of operational cost & efficiency savings.
• Supplier & third party management SLA services:
o Manage and coordinate with Vendor and maintain SLAs towards customer.
• Financial:
o Achieve productivity & cost efficiency savings.
o Maintain unit costing volume, accurate forecasting and charging data (#work units/service requests/changes).
o Identify SLA up sell opportunities.
• Client Reporting:
o Maintain SLA R&I log and follow-up actions aimed at reducing risks to service and service credits.
o Resolution of operational issues arising from client disputes - SLA Reporting to the client.

.",required skills prior experience in cloud infrastructure management technologies aws sap basis sql oracle etc experience in the delivery of customer services to expected slas. be able to understand complex cross platform technical issues contractual requirements and able to identify areas for improvement. good delegation skills negotiation skills and people management. good customer relations skills to understand client/client representatives concerns and requirements. leadership abilities - mainly during crisis and major incidents. operations lead roles responsibilities the operations manager is accountable for delivering the run services towards a client or a specific set of clients. the operations manager has a firm working relation with the sdm who is accountable for the overall contractual compliance of all services and projects. responsible for the delivery of the services from multiple service lines. operations manager ensures that the services are deliver according to the sla as well as managing the delivery of non-standard / client specific services. delivery o deliver services according to sla. o day-to-day management of all service delivery activities. o ensure consistency of delivery approach consistent with strategy - manage major incidents / client alerts. o drive the identification of operational cost efficiency savings. supplier third party management sla services o manage and coordinate with vendor and maintain slas towards customer. financial o achieve productivity cost efficiency savings. o maintain unit costing volume accurate forecasting and charging data #work units/service requests/changes. o identify sla up sell opportunities. client reporting o maintain sla r i log and follow-up actions aimed at reducing risks to service and service credits. o resolution of operational issues arising from client disputes - sla reporting to the client. .,required skills prior experience in cloud infrastructure management technologies aws sap basis sql oracle etc experience in the delivery of customer services to expected slas. be able to understand complex cross platform technical issues contractual requirements and able to identify areas for improvement. good delegation skills negotiation skills and people management. good customer relations skills to understand client/client representatives concerns and requirements. leadership abilities - mainly during crisis and major incidents. operations lead roles responsibilities the operations manager is accountable for delivering the run services towards a client or a specific set of clients. the operations manager has a firm working relation with the sdm who is accountable for the overall contractual compliance of all services and projects. responsible for the delivery of the services from multiple service lines. operations manager ensures that the services are deliver according to the sla as well as managing the delivery of non-standard / client specific services. delivery o deliver services according to sla. o day-to-day management of all service delivery activities. o ensure consistency of delivery approach consistent with strategy - manage major incidents / client alerts. o drive the identification of operational cost efficiency savings. supplier third party management sla services o manage and coordinate with vendor and maintain slas towards customer. financial o achieve productivity cost efficiency savings. o maintain unit costing volume accurate forecasting and charging data #work units/service requests/changes. o identify sla up sell opportunities. client reporting o maintain sla r i log and follow-up actions aimed at reducing risks to service and service credits. o resolution of operational issues arising from client disputes - sla reporting to the client. .,272
5184,Consultor PP/QM Sênior,"Morris, Moran and Dodson",False,Sênior,Fluente,Nenhum,TI - Desenvolvimento/Programação-,"Consultor PP/QM Sr.

• Consultor PP/QM Sênior com experiencia em projetos de Rollout e implementação SAP ECC
• Inglês mandatório
• Remoto (Em alguns momentos / fases do projeto deverá estar presente na planta do cliente em Campinas/SP)","• Consultor PP/QM Sênior com experiencia em projetos de Rollout e implementação SAP ECC
• Inglês mandatório
• Remoto (Em alguns momentos / fases do projeto deverá estar presente na planta do cliente em Campinas/SP)",,"• Consultor PP/QM Sênior com experiencia em projetos de Rollout e implementação SAP ECC
• Inglês mandatório
• Remoto (Em alguns momentos / fases do projeto deverá estar presente na planta do cliente em Campinas/SP) Consultor PP/QM Sr.

• Consultor PP/QM Sênior com experiencia em projetos de Rollout e implementação SAP ECC
• Inglês mandatório
• Remoto (Em alguns momentos / fases do projeto deverá estar presente na planta do cliente em Campinas/SP)",consultor pp/qm sênior com em projetos de rollout e implementação sap ecc inglês mandatório remoto em alguns momentos / fases do projeto deverá estar presente na planta do cliente em campinas/sp consultor pp/qm sr. consultor pp/qm sênior com em projetos de rollout e implementação sap ecc inglês mandatório remoto em alguns momentos / fases do projeto deverá estar presente na planta do cliente em campinas/sp,consultor pp/qm senior com em projetos de rollout e implementacao sap ecc ingles mandatorio remoto em alguns momentos / fases do projeto devera estar presente na planta do cliente em campinas/sp consultor pp/qm sr. consultor pp/qm senior com em projetos de rollout e implementacao sap ecc ingles mandatorio remoto em alguns momentos / fases do projeto devera estar presente na planta do cliente em campinas/sp,65
5183,ANALISTA PL/JR C/ SQL,"Morris, Moran and Dodson",False,Analista,Nenhum,Intermediário,TI - Sistemas e Ferramentas-,"Descrição – Atividades:

o Monitoramento das interfaces KDP
o Monitoramento sistema B2B durante o dia
o Monitoramento do Whatsapp durante o dia
o Monitoramento da subida de pedidos (KDP, WAE e B2B)
o Suporte para equipe comercial quando tem problemas em algum cliente no WAE
o Suporte Aplicativo Pitcher (Projeto Promotores).
o Suporte no grupo whatsapp KDP, para vendedores e executivos
o Atendimento da fila de chamados SM9 do grupo KDP
o Validação das listas de visitas de C4C toda quinta e sexta
o Garantir que as necessidades dos clientes sejam atendidas à medida que o projeto evolui","Requisitos mandatórios:

o Conhecimentos Técnicos: Conhecimento SQL, e algum conhecimento de SAP SD
o Competências Interpessoais: Relacionamento interpessoal, foco no cliente, trabalho em equipe, excelente
comunicação, e adaptabilidade.

Requisitos desejáveis:
o Idiomas: Espanhol nível intermediário.",,"Requisitos mandatórios:

o Conhecimentos Técnicos: Conhecimento SQL, e algum conhecimento de SAP SD
o Competências Interpessoais: Relacionamento interpessoal, foco no cliente, trabalho em equipe, excelente
comunicação, e adaptabilidade.

Requisitos desejáveis:
o Idiomas: Espanhol nível intermediário. Descrição – Atividades:

o Monitoramento das interfaces KDP
o Monitoramento sistema B2B durante o dia
o Monitoramento do Whatsapp durante o dia
o Monitoramento da subida de pedidos (KDP, WAE e B2B)
o Suporte para equipe comercial quando tem problemas em algum cliente no WAE
o Suporte Aplicativo Pitcher (Projeto Promotores).
o Suporte no grupo whatsapp KDP, para vendedores e executivos
o Atendimento da fila de chamados SM9 do grupo KDP
o Validação das listas de visitas de C4C toda quinta e sexta
o Garantir que as necessidades dos clientes sejam atendidas à medida que o projeto evolui",mandatórios o técnicos sql e algum de sap sd o competências interpessoais relacionamento interpessoal foco no cliente trabalho em equipe excelente comunicação e adaptabilidade. desejáveis o idiomas espanhol nível intermediário. descrição - o monitoramento das interfaces kdp o monitoramento sistema b2b durante o dia o monitoramento do whatsapp durante o dia o monitoramento da subida de pedidos kdp wae e b2b o suporte para equipe comercial quando tem problemas em algum cliente no wae o suporte aplicativo pitcher projeto promotores. o suporte no grupo whatsapp kdp para vendedores e executivos o atendimento da fila de chamados sm9 do grupo kdp o validação das listas de visitas de c4c toda quinta e sexta o garantir que as necessidades dos clientes sejam atendidas à medida que o projeto evolui,mandatorios o tecnicos sql e algum de sap sd o competencias interpessoais relacionamento interpessoal foco no cliente trabalho em equipe excelente comunicacao e adaptabilidade. desejaveis o idiomas espanhol nivel intermediario. descricao - o monitoramento das interfaces kdp o monitoramento sistema b2b durante o dia o monitoramento do whatsapp durante o dia o monitoramento da subida de pedidos kdp wae e b2b o suporte para equipe comercial quando tem problemas em algum cliente no wae o suporte aplicativo pitcher projeto promotores. o suporte no grupo whatsapp kdp para vendedores e executivos o atendimento da fila de chamados sm9 do grupo kdp o validacao das listas de visitas de c4c toda quinta e sexta o garantir que as necessidades dos clientes sejam atendidas a medida que o projeto evolui,127
5182,Technical Architect - 11894809,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Descrição/Comentário: Architecture Frameworks - Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.- Experiência em configurações FICA
- Experiência em FI
- Experiência em FS-SD
- Experiência em processo de Cobrança
- Experiência em processo de Arrecadação
- Experiência em processo de Contabilização
- Conhecimento ABAP para realizar debug, análise do código e propor soluções técnicas
- Conhecimento em processos massivos
- Conhecimento das integraçãoes do módulo Faturamento
- Trabalho em liderança da equipe
Outros detalhes do trabalho: 1 - Application Architectures (P5 - Master) | 2 - Architecture Design (P5 - Master) | 3 - Operations Architectures (P5 - Master) | 4 - SAP FI CO Finance (P5 - Master) | 5 - Technology Architectures (P5 - Master). -Possibilidade de absorção -Trabalho remoto (Presencial somente se tiver alguma necessidade do cliente) -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Descrição/Comentário: Architecture Frameworks - Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.- Experiência em configurações FICA
- Experiência em FI
- Experiência em FS-SD
- Experiência em processo de Cobrança
- Experiência em processo de Arrecadação
- Experiência em processo de Contabilização
- Conhecimento ABAP para realizar debug, análise do código e propor soluções técnicas
- Conhecimento em processos massivos
- Conhecimento das integraçãoes do módulo Faturamento
- Trabalho em liderança da equipe
Outros detalhes do trabalho: 1 - Application Architectures (P5 - Master) | 2 - Architecture Design (P5 - Master) | 3 - Operations Architectures (P5 - Master) | 4 - SAP FI CO Finance (P5 - Master) | 5 - Technology Architectures (P5 - Master). -Possibilidade de absorção -Trabalho remoto (Presencial somente se tiver alguma necessidade do cliente) -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,"Descrição/Comentário: Architecture Frameworks - Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.- Experiência em configurações FICA
- Experiência em FI
- Experiência em FS-SD
- Experiência em processo de Cobrança
- Experiência em processo de Arrecadação
- Experiência em processo de Contabilização
- Conhecimento ABAP para realizar debug, análise do código e propor soluções técnicas
- Conhecimento em processos massivos
- Conhecimento das integraçãoes do módulo Faturamento
- Trabalho em liderança da equipe
Outros detalhes do trabalho: 1 - Application Architectures (P5 - Master) | 2 - Architecture Design (P5 - Master) | 3 - Operations Architectures (P5 - Master) | 4 - SAP FI CO Finance (P5 - Master) | 5 - Technology Architectures (P5 - Master). -Possibilidade de absorção -Trabalho remoto (Presencial somente se tiver alguma necessidade do cliente) -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description) Descrição/Comentário: Architecture Frameworks - Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.- Experiência em configurações FICA
- Experiência em FI
- Experiência em FS-SD
- Experiência em processo de Cobrança
- Experiência em processo de Arrecadação
- Experiência em processo de Contabilização
- Conhecimento ABAP para realizar debug, análise do código e propor soluções técnicas
- Conhecimento em processos massivos
- Conhecimento das integraçãoes do módulo Faturamento
- Trabalho em liderança da equipe
Outros detalhes do trabalho: 1 - Application Architectures (P5 - Master) | 2 - Architecture Design (P5 - Master) | 3 - Operations Architectures (P5 - Master) | 4 - SAP FI CO Finance (P5 - Master) | 5 - Technology Architectures (P5 - Master). -Possibilidade de absorção -Trabalho remoto (Presencial somente se tiver alguma necessidade do cliente) -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description)",descrição/comentário architecture frameworks - review and integrate all application requirements including functional security integration performance quality and operations requirements. review and integrate the technical architecture requirements. provide input into final decisions regarding hardware network products system software and security.- em configurações fica - em fi - em fs-sd - em processo de cobrança - em processo de arrecadação - em processo de contabilização - abap para realizar debug análise do código e propor soluções técnicas - em processos massivos - das integraçãoes do módulo faturamento - trabalho em liderança da equipe outros detalhes do trabalho 1 - application architectures p5 - master 2 - architecture design p5 - master 3 - operations architectures p5 - master 4 - sap fi co finance p5 - master 5 - technology architectures p5 - master. -possibilidade de absorção -trabalho remoto presencial somente se tiver alguma necessidade do cliente -horário das 9h ás 18h primary skill others please note the skill at the beginning of job description descrição/comentário architecture frameworks - review and integrate all application requirements including functional security integration performance quality and operations requirements. -possibilidade de absorção -trabalho remoto presencial somente se tiver alguma necessidade do cliente -horário das 9h ás 18h primary skill others please note the skill at the beginning of job description,descricao/comentario architecture frameworks - review and integrate all application requirements including functional security integration performance quality and operations requirements. review and integrate the technical architecture requirements. provide input into final decisions regarding hardware network products system software and security.- em configuracoes fica - em fi - em fs-sd - em processo de cobranca - em processo de arrecadacao - em processo de contabilizacao - abap para realizar debug analise do codigo e propor solucoes tecnicas - em processos massivos - das integracaoes do modulo faturamento - trabalho em lideranca da equipe outros detalhes do trabalho 1 - application architectures p5 - master 2 - architecture design p5 - master 3 - operations architectures p5 - master 4 - sap fi co finance p5 - master 5 - technology architectures p5 - master. -possibilidade de absorcao -trabalho remoto presencial somente se tiver alguma necessidade do cliente -horario das 9h as 18h primary skill others please note the skill at the beginning of job description descricao/comentario architecture frameworks - review and integrate all application requirements including functional security integration performance quality and operations requirements. -possibilidade de absorcao -trabalho remoto presencial somente se tiver alguma necessidade do cliente -horario das 9h as 18h primary skill others please note the skill at the beginning of job description,213
5181,Consultor SAP AUTHORIZATION (BCA) -Pleno / Sênior,Mann and Sons,False,Sênior,Intermediário,Nenhum,TI - SAP-,"Experiência como Consultor SAP AUTHORIZATION (BCA).
Pleno / Sênior","Experiência como Consultor SAP AUTHORIZATION (BCA).
Pleno / Sênior",,"Experiência como Consultor SAP AUTHORIZATION (BCA).
Pleno / Sênior Experiência como Consultor SAP AUTHORIZATION (BCA).
Pleno / Sênior",como consultor sap authorization bca. pleno / sênior como consultor sap authorization bca. pleno / sênior,como consultor sap authorization bca. pleno / senior como consultor sap authorization bca. pleno / senior,16
5180,Desenvolvedor Web Pleno / Sênior,Mann and Sons,False,Sênior,Básico,Nenhum,TI - Desenvolvimento/Programação-,"Graduated or with course of programming logic, with experience in development in ASP, .NET, JAVA, HTML, CSS and also knowlege with Data bases (MySQL, Oracle and SQL+)","Desenvolvedor Web (Microsoft .Net).
conhecimentos Java e PHP desejável.",,"Desenvolvedor Web (Microsoft .Net).
conhecimentos Java e PHP desejável. Graduated or with course of programming logic, with experience in development in ASP, .NET, JAVA, HTML, CSS and also knowlege with Data bases (MySQL, Oracle and SQL+)",desenvolvedor web microsoft .net. java e php. graduated or with course of programming logic with experience in development in asp .net java html css and also knowlege with data bases mysql oracle and sql+,desenvolvedor web microsoft .net. java e php. graduated or with course of programming logic with experience in development in asp .net java html css and also knowlege with data bases mysql oracle and sql+,34
5179,Consultor SAP HR Pleno,Mann and Sons,False,Pleno,Técnico,Nenhum,TI - SAP-,Experiência como Coordenado HR Pleno,Experiência como Coordenado HR Pleno,,Experiência como Coordenado HR Pleno Experiência como Coordenado HR Pleno,como coordenado hr pleno como coordenado hr pleno,como coordenado hr pleno como coordenado hr pleno,8
5178,Consultor FI Pleno / Sênior,Mann and Sons,False,Sênior,Intermediário,Nenhum,TI - SAP-,Experiência como Consultor FI Pleno / Sênior,Experiência como Consultor FI Pleno / Sênior,,Experiência como Consultor FI Pleno / Sênior Experiência como Consultor FI Pleno / Sênior,como consultor fi pleno / sênior como consultor fi pleno / sênior,como consultor fi pleno / senior como consultor fi pleno / senior,12
5177,Consultor SAP CS / PM Pleno / Senior,Mann and Sons,False,Sênior,Avançado,Nenhum,TI - SAP-,Experiência como Consultor SAP CS / PM,Experiência como Consultor SAP CS / PM,,Experiência como Consultor SAP CS / PM Experiência como Consultor SAP CS / PM,como consultor sap cs / pm como consultor sap cs / pm,como consultor sap cs / pm como consultor sap cs / pm,12
5176,Consultor SAP SD Sênior,Mann and Sons,False,Sênior,Técnico,Nenhum,TI - SAP-,Experiência como Consultor SAP SD Sênior,Experiência como Consultor SAP SD Sênior,,Experiência como Consultor SAP SD Sênior Experiência como Consultor SAP SD Sênior,como consultor sap sd sênior como consultor sap sd sênior,como consultor sap sd senior como consultor sap sd senior,10
